Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
154300,ELABORACIÓN DE CACAO Y CHOCOLATE Y DE PRODUCTOS DE CONFITERÍA,107309,Elaboración de productos de confitería n.c.p.
154300,ELABORACIÓN DE CACAO Y CHOCOLATE Y DE PRODUCTOS DE CONFITERÍA,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
154410,ELABORACIÓN DE PASTAS ALIMENTICIAS FRESCAS,107410,Elaboración de pastas alimentarias frescas
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
154410,ELABORACIÓN DE PASTAS ALIMENTICIAS FRESCAS,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
154420,ELABORACIÓN DE PASTAS ALIMENTICIAS SECAS,107420,Elaboración de pastas alimentarias secas
154420,ELABORACIÓN DE PASTAS ALIMENTICIAS SECAS,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
154910,"TOSTADO, TORRADO Y MOLIENDA DE CAFÉ; ELABORACIÓN Y  MOLIENDA DE HIERBASAROMÁTICAS Y ESPECIAS",107911,"Tostado, torrado y molienda de café"
154910,"TOSTADO, TORRADO Y MOLIENDA DE CAFÉ; ELABORACIÓN Y  MOLIENDA DE HIERBASAROMÁTICAS Y ESPECIAS",107912,Elaboración y molienda de hierbas aromáticas y especias
154910,"TOSTADO, TORRADO Y MOLIENDA DE CAFÉ; ELABORACIÓN Y  MOLIENDA DE HIERBASAROMÁTICAS Y ESPECIAS",109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
154920,PREPARACIÓN DE HOJAS DE TÉ,107920,Preparación de hojas de té
154920,PREPARACIÓN DE HOJAS DE TÉ,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
154930,ELABORACIÓN DE YERBA MATE,107930,Elaboración de yerba mate
154930,ELABORACIÓN DE YERBA MATE,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
154990,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS N.C.P.,107500,Elaboración de comidas preparadas para reventa
154990,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS N.C.P.,107991,"Elaboración de extractos, jarabes y concentrados"
154990,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS N.C.P.,107992,Elaboración de vinagres
154990,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS N.C.P.,107999,Elaboración de productos alimenticios n.c.p.
154990,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS N.C.P.,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
155110,DESTILACIÓN DE ALCOHOL ETÍLICO,109002,Servicios industriales para la elaboración bebidas alcohólicas
155110,DESTILACIÓN DE ALCOHOL ETÍLICO,201210,Fabricación de alcohol
155120,"DESTILACIÓN, RECTIFICACIÓN Y MEZCLA DE BEBIDAS ESPIRITOSAS",109002,Servicios industriales para la elaboración bebidas alcohólicas
155120,"DESTILACIÓN, RECTIFICACIÓN Y MEZCLA DE BEBIDAS ESPIRITOSAS",110100,"Destilación, rectificación y mezcla de bebidas espiritosas"
155210,ELABORACIÓN DE VINOS,109002,Servicios industriales para la elaboración bebidas alcohólicas
155210,ELABORACIÓN DE VINOS,110211,Elaboración de mosto
155210,ELABORACIÓN DE VINOS,110212,Elaboración de vinos
155290,ELABORACIÓN DE SIDRA Y OTRAS BEBIDAS ALCOHÓLICAS FERMENTADAS  A PARTIR DE FRUTAS,109002,Servicios industriales para la elaboración bebidas alcohólicas
155290,ELABORACIÓN DE SIDRA Y OTRAS BEBIDAS ALCOHÓLICAS FERMENTADAS  A PARTIR DE FRUTAS,110290,Elaboración de sidra y otras bebidas alcohólicas fermentadas
155300,"ELABORACIÓN DE CERVEZA, BEBIDAS MALTEADAS Y DE MALTA",109002,Servicios industriales para la elaboración bebidas alcohólicas
155300,"ELABORACIÓN DE CERVEZA, BEBIDAS MALTEADAS Y DE MALTA",110300,"Elaboración de cerveza, bebidas malteadas y malta"
155411,ELABORACION DE SODAS y AGUAS EXCEPTO MINERALES,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
155411,ELABORACION DE SODAS y AGUAS EXCEPTO MINERALES,110412,Fabricación de sodas
155412,EXTRACCION Y EMBOTELLAMIENTO DE AGUAS MINERALES,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
155412,EXTRACCION Y EMBOTELLAMIENTO DE AGUAS MINERALES,110411,Embotellado de aguas naturales y minerales
155420,"ELABORACIÓN DE BEBIDAS GASEOSAS, EXCEPTO SODA",109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
155420,"ELABORACIÓN DE BEBIDAS GASEOSAS, EXCEPTO SODA",110420,"Elaboración de bebidas gaseosas, excepto sodas y aguas"
155491,ELABORACION DE JUGOS ENVASADOS PARA DILUIR Y OTRAS BEBIDAS NO ALCOHÓLICAS,109009,Servicios industriales para la elaboración de alimentos y bebidas n.c.p.
155491,ELABORACION DE JUGOS ENVASADOS PARA DILUIR Y OTRAS BEBIDAS NO ALCOHÓLICAS,110492,Elaboración de bebidas no alcohólicas n.c.p.
155492,ELABORACION DE HIELO,110491,Elaboración de hielo
160010,PREPARACIÓN DE HOJAS DE TABACO,120010,Preparación de hojas de tabaco
160090,ELABORACIÓN DE CIGARRILLOS Y  PRODUCTOS DE TABACO N.C.P.,120091,Elaboración de cigarrillos
160090,ELABORACIÓN DE CIGARRILLOS Y  PRODUCTOS DE TABACO N.C.P.,120099,Elaboración de productos de tabaco n.c.p.
171110,PREPARACIÓN DE FIBRAS DE ORIGEN VEGETAL PARA USO TEXTIL,131110,Preparación de fibras textiles vegetales; desmotado de algodón
171120,"PREPARACIÓN DE FIBRAS DE ORIGEN ANIMAL PARA USO TEXTIL, INCLUSO  EL LAVADO DE LANA",131120,Preparación de fibras animales de uso textil
171130,FABRICACIÓN DE HILADOS DE FIBRAS TEXTILES,131131,"Fabricación de hilados textiles de lana, pelos y sus mezclas"
171130,FABRICACIÓN DE HILADOS DE FIBRAS TEXTILES,131132,Fabricación de hilados textiles de algodón y sus mezclas
171130,FABRICACIÓN DE HILADOS DE FIBRAS TEXTILES,131139,"Fabricación de hilados textiles n.c.p., excepto de lana y de algodón"
171140,"FABRICACIÓN DE TEJIDOS TEXTILES, INCLUSO EN HILANDERÍAS Y TEJEDURÍA INTEGRADAS",131201,"Fabricación de tejidos (telas) planos de lana y sus mezclas, incluye hilanderías y tejeduríasintegradas"
171140,"FABRICACIÓN DE TEJIDOS TEXTILES, INCLUSO EN HILANDERÍAS Y TEJEDURÍA INTEGRADAS",131202,"Fabricación de tejidos (telas) planos de algodón y sus mezclas, incluye hilanderías y tejeduríasintegradas"
171140,"FABRICACIÓN DE TEJIDOS TEXTILES, INCLUSO EN HILANDERÍAS Y TEJEDURÍA INTEGRADAS",131209,"Fabricación de tejidos (telas) planos de fibras textiles n.c.p., incluye hilanderías y tejeduríasintegradas"
171200,ACABADO DE PRODUCTOS TEXTILES,131300,Acabado de productos textiles
171200,ACABADO DE PRODUCTOS TEXTILES,149000,Servicios industriales para la industria confeccionista
172100,"FABRICACIÓN DE ARTÍCULOS CONFECCIONADOS DE MATERIALES TEXTILES, EXCEPTO PRENDASDE VESTIR",139201,"Fabricación de frazadas, mantas, ponchos, colchas, cobertores, etc."
172100,"FABRICACIÓN DE ARTÍCULOS CONFECCIONADOS DE MATERIALES TEXTILES, EXCEPTO PRENDASDE VESTIR",139202,Fabricación de ropa de cama y mantelería
172100,"FABRICACIÓN DE ARTÍCULOS CONFECCIONADOS DE MATERIALES TEXTILES, EXCEPTO PRENDASDE VESTIR",139203,Fabricación de artículos de lona y sucedáneos de lona
172100,"FABRICACIÓN DE ARTÍCULOS CONFECCIONADOS DE MATERIALES TEXTILES, EXCEPTO PRENDASDE VESTIR",139204,Fabricación de bolsas de materiales textiles para productos a granel
172100,"FABRICACIÓN DE ARTÍCULOS CONFECCIONADOS DE MATERIALES TEXTILES, EXCEPTO PRENDASDE VESTIR",139209,"Fabricación de artículos confeccionados de materiales textiles n.c.p., excepto prendas de vestir"
172200,FABRICACIÓN DE TAPICES Y ALFOMBRAS,139300,Fabricación de tapices y alfombras
172300,"FABRICACIÓN DE CUERDAS, CORDELES, BRAMANTES Y REDES",139400,"Fabricación de cuerdas, cordeles, bramantes y redes"
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
172900,FABRICACIÓN DE PRODUCTOS TEXTILES N.C.P.,139900,Fabricación de productos textiles n.c.p.
173010,FABRICACIÓN DE MEDIAS,143010,Fabricación de medias
173020,FABRICACIÓN DE SUÉTERES Y ARTÍCULOS SIMILARES DE PUNTO,143020,Fabricación de prendas de vestir y artículos similares de punto
173090,FABRICACIÓN DE TEJIDOS Y ARTÍCULOS DE PUNTO N.C.P.,139100,Fabricación de tejidos de punto
181110,"CONFECCIÓN DE ROPA INTERIOR, PRENDAS PARA DORMIR Y PARA LA PLAYA",141110,"Confección de ropa interior, prendas para dormir y para la playa"
181110,"CONFECCIÓN DE ROPA INTERIOR, PRENDAS PARA DORMIR Y PARA LA PLAYA",149000,Servicios industriales para la industria confeccionista
181120,"CONFECCIÓN DE INDUMENTARIA DE TRABAJO, UNIFORMES Y GUARDAPOLVOS",141120,"Confección de ropa de trabajo, uniformes y guardapolvos"
181120,"CONFECCIÓN DE INDUMENTARIA DE TRABAJO, UNIFORMES Y GUARDAPOLVOS",149000,Servicios industriales para la industria confeccionista
181130,CONFECCIÓN DE INDUMENTARIA PARA BEBÉS Y NIÑOS,141130,Confección de prendas de vestir para bebés y niños
181130,CONFECCIÓN DE INDUMENTARIA PARA BEBÉS Y NIÑOS,149000,Servicios industriales para la industria confeccionista
181190,"CONFECCIÓN DE PRENDAS DE VESTIR N.C.P., EXCEPTO PRENDAS DE PIEL Y DE CUERO",141140,Confección de prendas deportivas
181190,"CONFECCIÓN DE PRENDAS DE VESTIR N.C.P., EXCEPTO PRENDAS DE PIEL Y DE CUERO",141191,Fabricación de accesorios de vestir excepto de cuero
181190,"CONFECCIÓN DE PRENDAS DE VESTIR N.C.P., EXCEPTO PRENDAS DE PIEL Y DE CUERO",141199,"Confección de prendas de vestir n.c.p., excepto prendas de piel, cuero y de punto"
181190,"CONFECCIÓN DE PRENDAS DE VESTIR N.C.P., EXCEPTO PRENDAS DE PIEL Y DE CUERO",149000,Servicios industriales para la industria confeccionista
181200,CONFECCIÓN DE PRENDAS Y ACCESORIOS DE VESTIR DE CUERO,141201,Fabricación de accesorios de vestir de cuero
181200,CONFECCIÓN DE PRENDAS Y ACCESORIOS DE VESTIR DE CUERO,141202,Confección de prendas de vestir de cuero
182000,TERMINACIÓN Y TEÑIDO DE PIELES; FABRICACIÓN DE ARTÍCULOS DE PIEL,142000,Terminación y teñido de pieles; fabricación de artículos de piel
191100,CURTIDO Y TERMINACIÓN DE CUEROS,151100,Curtido y terminación de cueros
191200,"FABRICACIÓN DE MALETAS, BOLSOS DE MANO Y SIMILARES, ARTÍCULOS DE TALABARTERÍA YARTÍCULOS DE CUERO N.C.P.",151200,"Fabricación de maletas, bolsos de mano y similares, artículos de talabartería y artículos de cueron.c.p."
192010,"FABRICACIÓN DE CALZADO DE CUERO, EXCEPTO EL ORTOPÉDICO",152011,"Fabricación de calzado de cuero, excepto calzado deportivo y ortopédico"
192010,"FABRICACIÓN DE CALZADO DE CUERO, EXCEPTO EL ORTOPÉDICO",152031,Fabricación de calzado deportivo
192020,"FABRICACIÓN DE CALZADO DE TELA, PLÁSTICO, GOMA, CAUCHO Y OTROS MATERIALES,EXCEPTO CALZADO ORTOPÉDICO Y DE ASBESTO",152021,"Fabricación de calzado de materiales n.c.p., excepto calzado deportivo y ortopédico"
192020,"FABRICACIÓN DE CALZADO DE TELA, PLÁSTICO, GOMA, CAUCHO Y OTROS MATERIALES,EXCEPTO CALZADO ORTOPÉDICO Y DE ASBESTO",152031,Fabricación de calzado deportivo
192030,FABRICACIÓN DE PARTES DE CALZADO,152040,Fabricación de partes de calzado
201000,ASERRADO Y CEPILLADO DE MADERA,161001,Aserrado y cepillado de madera nativa
201000,ASERRADO Y CEPILLADO DE MADERA,161002,Aserrado y cepillado de madera implantada
202100,"FABRICACIÓN DE HOJAS DE MADERA PARA ENCHAPADO; FABRICACIÓN DE TABLEROSCONTRACHAPADOS; TABLEROS LAMINADOS; TABLEROS DEPARTÍCULAS Y TABLEROS Y PANELESN.C.P.",162100,"Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados;tableros laminados; tableros de partículas y tableros y paneles n.c.p."
202200,FABRICACIÓN DE PARTES Y PIEZAS DE CARPINTERÍA PARA EDIFICIOS Y CONSTRUCCIONES,162201,Fabricación de aberturas y estructuras de madera para la construcción
202200,FABRICACIÓN DE PARTES Y PIEZAS DE CARPINTERÍA PARA EDIFICIOS Y CONSTRUCCIONES,162202,Fabricación de viviendas prefabricadas de madera
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
202300,FABRICACIÓN DE RECIPIENTES DE MADERA,162300,Fabricación de recipientes de madera
202900,"FABRICACIÓN DE PRODUCTOS DE MADERA N.C.P.; FABRICACIÓN DE ARTÍCULOS DE CORCHO,PAJA Y MATERIALES TRENZABLES",162901,Fabricación de ataúdes
202900,"FABRICACIÓN DE PRODUCTOS DE MADERA N.C.P.; FABRICACIÓN DE ARTÍCULOS DE CORCHO,PAJA Y MATERIALES TRENZABLES",162902,Fabricación de artículos de madera en tornerías
202900,"FABRICACIÓN DE PRODUCTOS DE MADERA N.C.P.; FABRICACIÓN DE ARTÍCULOS DE CORCHO,PAJA Y MATERIALES TRENZABLES",162903,Fabricación de productos de corcho
202900,"FABRICACIÓN DE PRODUCTOS DE MADERA N.C.P.; FABRICACIÓN DE ARTÍCULOS DE CORCHO,PAJA Y MATERIALES TRENZABLES",162909,"Fabricación de productos de madera n.c.p; fabricación de artículos de paja y materialestrenzables"
210100,"FABRICACIÓN DE PASTA DE MADERA, PAPEL Y CARTÓN",170101,Fabricación de pasta de madera
210100,"FABRICACIÓN DE PASTA DE MADERA, PAPEL Y CARTÓN",170102,Fabricación de papel y cartón excepto envases
210200,FABRICACIÓN DE PAPEL Y CARTÓN ONDULADO Y DE ENVASES DE PAPEL Y CARTÓN,170201,Fabricación de papel ondulado y envases de papel
210200,FABRICACIÓN DE PAPEL Y CARTÓN ONDULADO Y DE ENVASES DE PAPEL Y CARTÓN,170202,Fabricación de cartón ondulado y envases de cartón
210910,FABRICACIÓN DE ARTÍCULOS DE PAPEL Y CARTÓN DE USO DOMÉSTICO E HIGIÉNICO SANITARIO,170910,Fabricación de artículos de papel y cartón de uso doméstico e higiénico sanitario
210990,FABRICACIÓN DE ARTÍCULOS DE PAPEL Y CARTÓN N.C.P.,170990,Fabricación de artículos de papel y cartón n.c.p.
221100,"EDICIÓN DE LIBROS, FOLLETOS, PARTITURAS Y OTRAS PUBLICACIONES",581100,"Edición de libros, folletos, y otras publicaciones"
221100,"EDICIÓN DE LIBROS, FOLLETOS, PARTITURAS Y OTRAS PUBLICACIONES",581200,Edición de directorios y listas de correos
221200,"EDICIÓN DE PERIÓDICOS, REVISTAS Y PUBLICACIONES PERIÓDICAS",581300,"Edición de periódicos, revistas y publicaciones periódicas"
221300,EDICIÓN DE GRABACIONES,592000,Servicios de grabación de sonido y edición de música
221900,EDICIÓN N.C.P.,581900,Edición n.c.p.
222100,IMPRESIÓN,181101,Impresión de diarios y revistas
222100,IMPRESIÓN,181109,"Impresión n.c.p., excepto de diarios y revistas"
222200,SERVICIOS RELACIONADOS CON LA IMPRESIÓN,181200,Servicios relacionados con la impresión
223000,REPRODUCCIÓN DE GRABACIONES,182000,Reproducción de grabaciones
231000,FABRICACIÓN DE PRODUCTOS DE HORNOS DE COQUE,191000,Fabricación de productos de hornos de coque
232001,REFINACION DEL PETROLEO,192001,Fabricación de productos de la refinación del petróleo
232002,REFINACION DEL PETROLEO- LEY 11244-,192002,Refinación del petróleo -Ley Nacional N° 23966-
232003,FABRICACION DE PRODUCTOS  DERIVADOS DEL PETROLEO,192001,Fabricación de productos de la refinación del petróleo
233000,FABRICACION DE COMBUSTIBLE NUCLEAR,201140,"Fabricación de combustible nuclear, sustancias y materiales radiactivos"
233000,FABRICACION DE COMBUSTIBLE NUCLEAR,242090,"Fabricación de productos primarios de metales preciosos y metales no ferrosos n.c.p. y sussemielaborados"
241110,FABRICACIÓN DE GASES COMPRIMIDOS Y LICUADOS.,201110,Fabricación de gases industriales y medicinales comprimidos o licuados
241110,FABRICACIÓN DE GASES COMPRIMIDOS Y LICUADOS.,204000,Servicios industriales para la fabricación de sustancias y productos químicos
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
241120,FABRICACIÓN DE CURTIENTES NATURALES Y SINTÉTICOS.,201120,Fabricación de curtientes naturales y sintéticos
241120,FABRICACIÓN DE CURTIENTES NATURALES Y SINTÉTICOS.,204000,Servicios industriales para la fabricación de sustancias y productos químicos
241130,"FABRICACIÓN DE MATERIAS COLORANTES BÁSICAS, EXCEPTO PIGMENTOS PREPARADOS",201130,"Fabricación de materias colorantes básicas, excepto pigmentos preparados"
241130,"FABRICACIÓN DE MATERIAS COLORANTES BÁSICAS, EXCEPTO PIGMENTOS PREPARADOS",204000,Servicios industriales para la fabricación de sustancias y productos químicos
241180,"FABRICACIÓN DE MATERIAS QUÍMICAS INORGÁNICAS BÁSICAS, N.C.P.",201180,Fabricación de materias químicas inorgánicas básicas n.c.p.
241180,"FABRICACIÓN DE MATERIAS QUÍMICAS INORGÁNICAS BÁSICAS, N.C.P.",204000,Servicios industriales para la fabricación de sustancias y productos químicos
241190,"FABRICACIÓN DE MATERIAS QUÍMICAS ORGÁNICAS BÁSICAS, N.C.P.",201191,Producción e industrialización de metanol
241190,"FABRICACIÓN DE MATERIAS QUÍMICAS ORGÁNICAS BÁSICAS, N.C.P.",201199,Fabricación de materias químicas orgánicas básicas n.c.p.
241190,"FABRICACIÓN DE MATERIAS QUÍMICAS ORGÁNICAS BÁSICAS, N.C.P.",204000,Servicios industriales para la fabricación de sustancias y productos químicos
241200,FABRICACIÓN DE ABONOS Y COMPUESTOS DE NITRÓGENO,201300,Fabricación de abonos y compuestos de nitrógeno
241200,FABRICACIÓN DE ABONOS Y COMPUESTOS DE NITRÓGENO,204000,Servicios industriales para la fabricación de sustancias y productos químicos
241301,FABRICACION DE RESINAS SINTETICAS,201401,Fabricación de resinas y cauchos sintéticos
241301,FABRICACION DE RESINAS SINTETICAS,204000,Servicios industriales para la fabricación de sustancias y productos químicos
241309,"FABRICACIÓN DE PLÁSTICOS EN FORMAS PRIMARIAS Y DE CAUCHO SINTÉTICO, EXCEPTORESINAS SINTETICAS",201409,Fabricación de materias plásticas en formas primarias n.c.p.
241309,"FABRICACIÓN DE PLÁSTICOS EN FORMAS PRIMARIAS Y DE CAUCHO SINTÉTICO, EXCEPTORESINAS SINTETICAS",204000,Servicios industriales para la fabricación de sustancias y productos químicos
242100,FABRICACIÓN DE PLAGUICIDAS Y  PRODUCTOS QUÍMICOS DE USO AGROPECUARIO,202101,"Fabricación de insecticidas, plaguicidas y productos químicos de uso agropecuario"
242100,FABRICACIÓN DE PLAGUICIDAS Y  PRODUCTOS QUÍMICOS DE USO AGROPECUARIO,204000,Servicios industriales para la fabricación de sustancias y productos químicos
242200,"FABRICACIÓN DE PINTURAS; BARNICES Y PRODUCTOS DE REVESTIMIENTO SIMILARES; TINTASDE IMPRENTA Y MASILLAS",202200,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta ymasillas"
242200,"FABRICACIÓN DE PINTURAS; BARNICES Y PRODUCTOS DE REVESTIMIENTO SIMILARES; TINTASDE IMPRENTA Y MASILLAS",204000,Servicios industriales para la fabricación de sustancias y productos químicos
242310,FABRICACIÓN DE MEDICAMENTOS DE USO HUMANO Y PRODUCTOS FARMACÉUTICOS,204000,Servicios industriales para la fabricación de sustancias y productos químicos
242310,FABRICACIÓN DE MEDICAMENTOS DE USO HUMANO Y PRODUCTOS FARMACÉUTICOS,210010,Fabricación de medicamentos de uso humano y productos farmacéuticos
242320,FABRICACIÓN DE MEDICAMENTOS DE USO VETERINARIO,204000,Servicios industriales para la fabricación de sustancias y productos químicos
242320,FABRICACIÓN DE MEDICAMENTOS DE USO VETERINARIO,210020,Fabricación de medicamentos de uso veterinario
242390,"FABRICACIÓN DE PRODUCTOS DE LABORATORIO,  SUSTANCIAS QUÍMICAS MEDICINALES YPRODUCTOS BOTÁNICOS N.C.P.",204000,Servicios industriales para la fabricación de sustancias y productos químicos
242390,"FABRICACIÓN DE PRODUCTOS DE LABORATORIO,  SUSTANCIAS QUÍMICAS MEDICINALES YPRODUCTOS BOTÁNICOS N.C.P.",210030,Fabricación de sustancias químicas para la elaboración de medicamentos
242390,"FABRICACIÓN DE PRODUCTOS DE LABORATORIO,  SUSTANCIAS QUÍMICAS MEDICINALES YPRODUCTOS BOTÁNICOS N.C.P.",210090,Fabricación de productos de laboratorio y productos botánicos de uso farmacéutico n.c.p.
242410,FABRICACIÓN DE JABONES Y PREPARADOS PARA LIMPIAR Y PULIR,202311,"Fabricación de preparados para limpieza, pulido y saneamiento"
242410,FABRICACIÓN DE JABONES Y PREPARADOS PARA LIMPIAR Y PULIR,202312,Fabricación de jabones y detergentes
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
242410,FABRICACIÓN DE JABONES Y PREPARADOS PARA LIMPIAR Y PULIR,204000,Servicios industriales para la fabricación de sustancias y productos químicos
242490,"FABRICACIÓN DE COSMÉTICOS, PERFUMES Y  PRODUCTOS DE HIGIENE Y TOCADOR",202320,"Fabricación de cosméticos, perfumes y productos de higiene y tocador"
242490,"FABRICACIÓN DE COSMÉTICOS, PERFUMES Y  PRODUCTOS DE HIGIENE Y TOCADOR",204000,Servicios industriales para la fabricación de sustancias y productos químicos
242900,FABRICACIÓN DE PRODUCTOS QUÍMICOS N.C.P.,201220,Fabricación de biocombustibles excepto alcohol
242900,FABRICACIÓN DE PRODUCTOS QUÍMICOS N.C.P.,202906,Fabricación de explosivos y productos de pirotecnia
242900,FABRICACIÓN DE PRODUCTOS QUÍMICOS N.C.P.,202907,"Fabricación de colas, adhesivos, aprestos y cementos excepto los odontológicos obtenidos desustancias minerales y vegetales"
242900,FABRICACIÓN DE PRODUCTOS QUÍMICOS N.C.P.,202908,Fabricación de productos químicos n.c.p.
242900,FABRICACIÓN DE PRODUCTOS QUÍMICOS N.C.P.,204000,Servicios industriales para la fabricación de sustancias y productos químicos
242900,FABRICACIÓN DE PRODUCTOS QUÍMICOS N.C.P.,268000,Fabricación de soportes ópticos y magnéticos
243000,FABRICACIÓN DE FIBRAS MANUFACTURADAS,203000,Fabricación de fibras manufacturadas
243000,FABRICACIÓN DE FIBRAS MANUFACTURADAS,204000,Servicios industriales para la fabricación de sustancias y productos químicos
251110,FABRICACIÓN DE CUBIERTAS Y CÁMARAS,221110,Fabricación de cubiertas y cámaras
251120,RECAUCHUTADO Y RENOVACIÓN DE CUBIERTAS,221120,Recauchutado y renovación de cubiertas
251900,FABRICACIÓN DE  PRODUCTOS DE CAUCHO N.C.P.,221901,Fabricación de autopartes de caucho excepto cámaras y cubiertas
251900,FABRICACIÓN DE  PRODUCTOS DE CAUCHO N.C.P.,221909,Fabricación de productos de caucho n.c.p.
252010,FABRICACIÓN DE ENVASES PLÁSTICOS,204000,Servicios industriales para la fabricación de sustancias y productos químicos
252010,FABRICACIÓN DE ENVASES PLÁSTICOS,222010,Fabricación de envases plásticos
252090,"FABRICACIÓN DE PRODUCTOS PLÁSTICOS EN FORMAS BÁSICAS Y ARTÍCULOS DE PLÁSTICON.C.P., EXCEPTO MUEBLES",222090,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., exceptomuebles"
261010,FABRICACIÓN DE ENVASES DE VIDRIO,231010,Fabricación de envases de vidrio
261020,FABRICACIÓN Y ELABORACIÓN DE VIDRIO PLANO,231020,Fabricación y elaboración de vidrio plano
261090,FABRICACIÓN DE PRODUCTOS DE VIDRIO N.C.P.,231090,Fabricación de productos de vidrio n.c.p.
269110,FABRICACIÓN DE ARTÍCULOS SANITARIOS DE CERÁMICA,239310,Fabricación de artículos sanitarios de cerámica
269190,"FABRICACIÓN DE ARTÍCULOS DE CERÁMICA NO REFRACTARIA PARA USO NO ESTRUCTURALN.C.P.",239391,Fabricación de objetos cerámicos para uso doméstico excepto artefactos sanitarios
269190,"FABRICACIÓN DE ARTÍCULOS DE CERÁMICA NO REFRACTARIA PARA USO NO ESTRUCTURALN.C.P.",239399,Fabricación de artículos de cerámica no refractaria para uso no estructural n.c.p.
269200,FABRICACIÓN DE PRODUCTOS DE CERÁMICA REFRACTARIA,239100,Fabricación de productos de cerámica refractaria
269200,FABRICACIÓN DE PRODUCTOS DE CERÁMICA REFRACTARIA,239201,Fabricación de ladrillos
269300,"FABRICACIÓN DE PRODUCTOS DE ARCILLA Y CERÁMICA NO REFRACTARIA PARA USOESTRUCTURAL",239201,Fabricación de ladrillos
269300,"FABRICACIÓN DE PRODUCTOS DE ARCILLA Y CERÁMICA NO REFRACTARIA PARA USOESTRUCTURAL",239202,Fabricación de revestimientos cerámicos
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
269300,"FABRICACIÓN DE PRODUCTOS DE ARCILLA Y CERÁMICA NO REFRACTARIA PARA USOESTRUCTURAL",239209,Fabricación de productos de arcilla y cerámica no refractaria para uso estructural n.c.p.
269410,ELABORACIÓN DE CEMENTO,239410,Elaboración de cemento
269420,ELABORACIÓN DE CAL Y YESO,239421,Elaboración de yeso
269420,ELABORACIÓN DE CAL Y YESO,239422,Elaboración de cal
269510,FABRICACIÓN DE MOSAICOS,239510,Fabricación de mosaicos
269590,"FABRICACIÓN DE ARTÍCULOS DE CEMENTO, FIBROCEMENTO Y YESO EXCEPTO MOSAICOS",239591,Elaboración de hormigón.
269590,"FABRICACIÓN DE ARTÍCULOS DE CEMENTO, FIBROCEMENTO Y YESO EXCEPTO MOSAICOS",239592,Fabricación de premoldeadas para la construcción
269590,"FABRICACIÓN DE ARTÍCULOS DE CEMENTO, FIBROCEMENTO Y YESO EXCEPTO MOSAICOS",239593,"Fabricación de artículos de cemento, fibrocemento y yeso excepto hormigón y mosaicos"
269600,"CORTE, TALLADO Y ACABADO DE LA PIEDRA",239600,"Corte, tallado y acabado de la piedra"
269910,ELABORACIÓN PRIMARIA N.C.P. DE MINERALES NO METÁLICOS,239900,Fabricación de productos minerales no metálicos n.c.p.
269990,FABRICACIÓN DE PRODUCTOS MINERALES NO METÁLICOS N.C.P.,239900,Fabricación de productos minerales no metálicos n.c.p.
271000,INDUSTRIAS BÁSICAS DE HIERRO Y ACERO,241001,"Laminación y estirado. Producción de lingotes, planchas o barras fabricadas por operadoresindependientes"
271000,INDUSTRIAS BÁSICAS DE HIERRO Y ACERO,241009,Fabricación en industrias básicas de productos de hierro y acero n.c.p.
